Escherichia coli str. K-12 substr. MG1655, complete genome. - 1..4641652
4140 proteins
Location	Strand	Length	PID	Gene	Synonym	Code	COG	Product
2468214..2469134	+	306	1788692	gtrB	b2351	-	-	CPS-53 (KpLE1) prophage; bactoprenol glucosyl transferase
2469131..2470462	+	443	1788693	gtrS	b2352	-	-	serotype-specific glucosyl transferase, CPS-53 (KpLE1) prophage
2471077..2471517	-	146	1788696	yfdK	b2354	-	-	CPS-53 (KpLE1) prophage; conserved protein
2472387..2472881	-	164	1788699	yfdN	b2357	-	-	CPS-53 (KpLE1) prophage; uncharacterized protein
2473604..2473966	+	120	145693164	yfdP	b2359	-	-	CPS-53 (KpLE1) prophage; uncharacterized protein
2474032..2474856	+	274	1788702	yfdQ	b2360	-	-	CPS-53 (KpLE1) prophage; uncharacterized protein
2474984..2475520	+	178	87082090	yfdR	b2361	-	-	CPS-53 (KpLE1) prophage; conserved protein
2475511..2475873	+	120	1788704	yfdS	b2362	-	-	CPS-53 (KpLE1) prophage; uncharacterized protein
2475873..2476178	+	101	1788705	yfdT	b2363	-	-	CPS-53 (KpLE1) prophage; uncharacterized protein
2476310..2476510	+	66	87082092	torI	b4501	-	-	response regulator inhibitor for tor operon
2476694..2477629	-	311	1788706	dsdC	b2364	-	-	dsd operon activator; autorepressor
2477847..2479184	+	445	1788707	dsdX	b2365	-	-	D-serine transporter
2479202..2480530	+	442	1788708	dsdA	b2366	-	-	D-serine dehydratase
2480638..2482176	-	512	1788710	emrY	b2367	-	-	putative multidrug efflux system
2482176..2483339	-	387	1788711	emrK	b2368	-	-	EmrKY-TolC multidrug resistance efflux pump, membrane fusion protein component
2483755..2484369	+	204	1788712	evgA	b2369	-	-	response regulator in two-component regulatory system with EvgS
2484374..2487967	+	1197	1788713	evgS	b2370	-	-	hybrid sensory histidine kinase in two-component regulatory system with EvgA
2488023..2489168	-	381	87082093	yfdE	b2371	-	-	acetyl-CoA:oxalate CoA-transferase
2489242..2490186	-	314	1788715	yfdV	b2372	-	-	putative transporter
2490256..2491950	-	564	1788716	oxc	b2373	-	-	oxalyl CoA decarboxylase, ThDP-dependent
2492004..2493254	-	416	1788717	frc	b2374	-	-	formyl-CoA transferase, NAD(P)-binding
2493767..2494402	-	211	1788719	yfdX	b2375	-	-	uncharacterized protein
2494698..2494973	+	91	2367134	ypdI	b2376	-	-	putative lipoprotein involved in colanic acid biosynthesis
2495050..2495292	-	80	1788720	yfdY	b2377	-	-	DUF2545 family putative inner membrane protein
2495645..2496565	+	306	87082094	lpxP	b2378	-	-	palmitoleoyl-acyl carrier protein (ACP)-dependent acyltransferase
2496921..2496992	+	23	226510962	ypdK	b4680	-	-	inner membrane protein
2497057..2498295	-	412	1788722	alaC	b2379	-	-	valine-pyruvate aminotransferase 3
2498671..2500368	+	565	1788723	ypdA	b2380	-	-	sensor kinase regulating yhjX; pyruvate-responsive YpdAB two-component system
2500383..2501117	+	244	1788724	ypdB	b2381	-	-	response regulator activating yhjX; pyruvate-responsive YpdAB two-component system
2501130..2501987	+	285	1788725	ypdC	b2382	-	-	putative DNA-binding protein
2501990..2504485	-	831	1788726	fryA	b2383	-	-	putative PTS enzyme, Hpr component/enzyme I component/enzyme IIA component
2504510..2505547	-	345	1788727	ypdE	b2384	-	-	aminopeptidase
2505547..2506632	-	361	1788728	ypdF	b2385	-	-	Xaa-Pro aminopeptidase
2506647..2507894	-	415	1788729	fryC	b2386	-	-	putative enzyme IIC component of PTS
2507916..2508242	-	108	1788730	fryB	b2387	-	-	putative enzyme IIB component of PTS
2508461..2509426	-	321	1788732	glk	b2388	-	-	glucokinase
2509630..2510886	+	418	1788733	yfeO	b2389	-	-	putative ion channel protein
2511001..2511327	+	108	1788734	ypeC	b2390	-	-	DUF2502 family putative periplasmic protein
2511468..2512706	-	412	1788736	mntH	b2392	-	-	manganese/divalent cation transporter
2513042..2514244	+	400	1788737	nupC	b2393	-	-	nucleoside (except guanosine) transporter
2514331..2515443	+	370	87082095	insL1	b2394	-	-	IS186 transposase
2515643..2517832	-	729	87082096	yfeA	b2395	-	-	putative diguanylate cyclase
2518467..2518811	+	114	87082097	yfeC	b2398	-	-	DUF1323 family putative DNA-binding protein
2518813..2519205	+	130	226510963	yfeD	b2399	-	-	DUF1323 family putative DNA-binding protein
2519257..2520672	-	471	1788743	gltX	b2400	-	-	glutamyl-tRNA synthetase
2521593..2522477	-	294	2367136	xapR	b2405	-	-	transcriptional activator of xapAB
2522729..2523985	-	418	1788745	xapB	b2406	-	-	xanthosine transporter
2524045..2524878	-	277	1788746	xapA	b2407	-	-	purine nucleoside phosphorylase II
2525127..2525891	+	254	1788747	yfeN	b2408	-	-	putative outer membrane protein
2525930..2526856	-	308	1788748	yfeR	b2409	-	-	transcriptional regulator of yefH
2526946..2527944	+	332	1788749	yfeH	b2410	-	-	putative inorganic ion transporter
2527941..2528159	-	72	87082098	ypeB	b4546	-	-	DUF3820 family protein
2528161..2530176	-	671	1788750	ligA	b2411	-	-	DNA ligase, NAD(+)-dependent
2530247..2531233	-	328	1788752	zipA	b2412	-	-	FtsZ stabilizer
2531463..2532224	+	253	1788753	cysZ	b2413	-	-	EI24 family inner membrane protein; putative sulfate transporter
2532409..2533380	+	323	1788754	cysK	b2414	-	-	cysteine synthase A, O-acetylserine sulfhydrolase A subunit
2533764..2534021	+	85	1788755	ptsH	b2415	-	-	phosphohistidinoprotein-hexose phosphotransferase component of PTS system (Hpr)
2534066..2535793	+	575	1788756	ptsI	b2416	-	-	PEP-protein phosphotransferase of PTS system (enzyme I)
2535834..2536343	+	169	1788757	crr	b2417	-	-	glucose-specific enzyme IIA component of PTS
2536386..2537237	-	283	1788758	pdxK	b2418	-	-	pyridoxal-pyridoxamine kinase/hydroxymethylpyrimidine kinase
2537342..2537716	+	124	1788759	yfeK	b2419	-	-	uncharacterized protein
2537749..2538483	+	244	1788760	yfeS	b2420	-	-	WGR domain protein
2538672..2539583	-	303	2367138	cysM	b2421	-	-	cysteine synthase B (O-acetylserine sulfhydrolase B)
2539717..2540814	-	365	1788761	cysA	b2422	-	-	sulfate/thiosulfate transporter subunit
2540804..2541679	-	291	87082099	cysW	b2423	-	-	sulfate/thiosulfate ABC transporter subunit
2541679..2542512	-	277	1788764	cysU	b2424	-	-	sulfate/thiosulfate ABC transporter permease
2542512..2543528	-	338	1788765	cysP	b2425	-	-	thiosulfate-binding protein
2543832..2544623	-	263	87082100	ucpA	b2426	-	-	furfural resistance protein, putative short-chain oxidoreductase
2544752..2545609	-	285	1788767	murR	b2427	-	-	repressor for murPQ, MurNAc 6-P inducible
2545773..2546669	+	298	1788768	murQ	b2428	-	-	N-acetylmuramic acid 6-phosphate (MurNAc-6-P) etherase
2546673..2548097	+	474	1788769	murP	b2429	-	-	N-acetylmuramic acid permease, EIIBC component, PTS system
2548102..2549406	+	434	87082101	yfeW	b2430	-	-	penicillin binding protein PBP4B; weak DD-carboxypeptidase activity
2549646..2550545	-	299	87082102	yfeX	b2431	-	-	porphyrinogen oxidase, cytoplasmic
2550641..2551216	-	191	1788772	yfeY	b2432	-	-	RpoE-regulated lipoprotein
2551277..2551726	-	149	87082103	yfeZ	b2433	-	-	inner membrane protein
2551713..2552138	-	141	87082104	ypeA	b2434	-	-	putative acyl-CoA transferase
2552352..2553221	+	289	1788776	amiA	b2435	-	-	N-acetylmuramoyl-l-alanine amidase I
2553225..2554124	+	299	1788777	hemF	b2436	-	-	coproporphyrinogen III oxidase
2554130..2555182	-	350	1788778	eutR	b2437	-	-	eut operon transcriptional activator, AraC family
2555228..2555728	-	166	87082105	eutK	b2438	-	-	putative ethanol utilization carboxysome structural protein
2555741..2556400	-	219	1788780	eutL	b2439	-	-	putative ethanol utilization carboxysome structural protein
2556410..2557297	-	295	1788781	eutC	b2440	-	-	ethanolamine ammonia-lyase, small subunit (light chain)
2557318..2558679	-	453	87082106	eutB	b2441	-	-	ethanolamine ammonia-lyase, large subunit, heavy chain
2558858..2560066	+	402	145693166	intZ	b2442	-	-	CPZ-55 prophage; putative phage integrase
2560257..2560898	+	213	1788784	yffL	b2443	-	-	CPZ-55 prophage; uncharacterized protein
2561368..2561613	+	81	1788785	yffM	b2444	-	-	CPZ-55 prophage; uncharacterized protein
2561625..2561993	+	122	145693167	yffN	b2445	-	-	CPZ-55 prophage; uncharacterized protein
2562111..2562527	+	138	1788787	yffO	b2446	-	-	CPZ-55 prophage; uncharacterized protein
2562524..2563117	+	197	1788788	yffP	b2447	-	-	CPZ-55 prophage; uncharacterized protein
2563592..2563969	+	125	145693168	yffQ	b2448	-	-	CPZ-55 prophage; uncharacterized protein
2563980..2564372	+	130	1788791	yffR	b2449	-	-	CPZ-55 prophage; uncharacterized protein
2564523..2565332	+	269	145693169	yffS	b2450	-	-	CPZ-55 prophage; uncharacterized protein
2565481..2566884	-	467	1788793	eutA	b2451	-	-	reactivating factor for ethanolamine ammonia lyase
2566881..2568107	-	408	1788794	eutH	b2452	-	-	ethanolamine transporter
2568324..2569511	-	395	87082107	eutG	b2453	-	-	ethanol dehydrogenase involved in ethanolamine utilization; aldehyde reductase, converts acetaldehyde to ethanol
2569501..2570337	-	278	1788796	eutJ	b2454	-	-	ethanolamine utilization protein, HSP70/actin superfamily protein
2570348..2571751	-	467	1788797	eutE	b2455	-	-	aldehyde oxidoreductase, ethanolamine utilization protein
2571763..2572050	-	95	1788798	eutN	b2456	-	-	Ethanolamine catabolic microcompartment shell protein
2572157..2572450	-	97	87082108	eutM	b2457	-	-	ethanolamine utilization protein, putative carboxysome structural protein
2572489..2573505	-	338	1788800	eutD	b2458	-	-	phosphate acetyltransferase
2573502..2574305	-	267	1788801	eutT	b2459	-	-	cobalamin adenosyltransferase involved in ethanolamine utilization
2574302..2575003	-	233	1788802	eutQ	b2460	-	-	RmlC-like cupin domain protein
2574978..2575457	-	159	1788803	eutP	b2461	-	-	putative P-loop NTPase ethanolamine utilization protein
2575470..2575805	-	111	87082109	eutS	b2462	-	-	putative ethanol utilization carboxysome structural protein
2576098..2578377	-	759	1788806	maeB	b2463	-	-	malic enzyme: putative oxidoreductase/putative phosphotransacetylase
2578666..2579616	+	316	1788807	talA	b2464	-	-	transaldolase A
2579636..2581639	+	667	1788808	tktB	b2465	-	-	transketolase 2, thiamine triphosphate-binding
2581734..2582777	-	347	1788809	ypfG	b2466	-	-	DUF1176 family protein
2582903..2583478	-	191	1788810	nudK	b2467	-	-	GDP-mannose pyrophosphatase
2583546..2585525	-	659	1788811	aegA	b2468	-	-	putative oxidoreductase, FeS binding subunit/NAD/FAD-binding subunit
2585731..2587431	+	566	1788812	narQ	b2469	-	-	sensory histidine kinase in two-component regulatory system with NarP (NarL)
2587595..2590708	+	1037	1788814	acrD	b2470	-	-	aminoglycoside/multidrug efflux system
2590807..2590866	-	19	145693170	ypfM	b4606	-	-	stress-induced small enterobacterial protein
2591247..2591603	+	118	1788815	yffB	b2471	-	-	putative ArsC family reductase
2591607..2592734	+	375	1788816	dapE	b2472	-	-	N-succinyl-diaminopimelate deacylase
2592762..2592962	+	66	87082110	ypfN	b4547	-	-	putative membrane protein, UPF0370 family
2593072..2593770	-	232	87082111	ypfH	b2473	-	-	palmitoyl-CoA esterase activity, uncertain physiological substrate
2593844..2595859	-	671	1788818	tmcA	b2474	-	-	elongator methionine tRNA (ac4C34) acetyltransferase
2595874..2596737	-	287	1788819	ypfJ	b2475	-	-	putative neutral zinc metallopeptidase
2596905..2597618	-	237	1788820	purC	b2476	-	-	phosphoribosylaminoimidazole-succinocarboxamide synthetase
2597831..2598865	-	344	87082112	bamC	b2477	-	-	BamABCDE complex OM biogenesis lipoprotein
2598882..2599760	-	292	1788823	dapA	b2478	-	-	dihydrodipicolinate synthase
2599906..2600478	+	190	87082113	gcvR	b2479	-	-	transcriptional repressor, regulatory protein accessory to GcvA
2600478..2600948	+	156	1788825	bcp	b2480	-	-	peroxiredoxin; thiol peroxidase, thioredoxin-dependent
2601201..2601818	+	205	87082114	hyfA	b2481	-	-	hydrogenase 4, 4Fe-4S subunit
2601818..2603836	+	672	1788827	hyfB	b2482	-	-	hydrogenase 4, membrane subunit
2603847..2604794	+	315	87082115	hyfC	b2483	-	-	hydrogenase 4, membrane subunit
2604811..2606250	+	479	1788829	hyfD	b2484	-	-	hydrogenase 4, membrane subunit
2606262..2606912	+	216	1788830	hyfE	b2485	-	-	hydrogenase 4, membrane subunit
2606917..2608497	+	526	1788831	hyfF	b2486	-	-	hydrogenase 4, membrane subunit
2608487..2610154	+	555	1788832	hyfG	b2487	-	-	hydrogenase 4, subunit
2610164..2610709	+	181	1788833	hyfH	b2488	-	-	hydrogenase 4, Fe-S subunit
2610706..2611464	+	252	1788834	hyfI	b2489	-	-	hydrogenase 4, Fe-S subunit
2611457..2611870	+	137	87082116	hyfJ	b2490	-	-	putative processing element hydrogenase 4
2611900..2613912	+	670	87082117	hyfR	b2491	-	-	hydrogenase-4 transcriptional activator
2613934..2614782	+	282	1788837	focB	b2492	-	-	putative formate transporter
2614820..2615881	-	353	1788838	yfgO	b2493	-	-	putative UPF0118 family inner membrane permease
2616094..2617557	+	487	1788840	bepA	b2494	-	-	periplasmic metalloprotease and chaperone for OM protein maintenance and assembly
2617578..2617937	+	119	1788841	yfgD	b2495	-	-	putative oxidoreductase
2618075..2618776	-	233	226510964	hda	b2496	-	-	ATPase regulatory factor involved in DnaA inactivation
2618871..2620160	-	429	1788843	uraA	b2497	-	-	uracil permease
2620246..2620872	-	208	87082118	upp	b2498	-	-	uracil phosphoribosyltransferase
2621197..2622234	+	345	1788845	purM	b2499	-	-	phosphoribosylaminoimidazole synthetase
2622234..2622872	+	212	1788846	purN	b2500	-	-	phosphoribosylglycinamide formyltransferase 1
2623044..2625110	+	688	1788847	ppk	b2501	-	-	polyphosphate kinase, component of RNA degradosome
2625115..2626656	+	513	1788848	ppx	b2502	-	-	exopolyphosphatase
2626695..2628938	-	747	1788849	yfgF	b2503	-	-	cyclic-di-GMP phosphodiesterase, anaerobic
2629290..2629481	+	63	1788851	yfgG	b2504	-	-	uncharacterized protein
2629792..2630310	+	172	1788852	yfgH	b2505	-	-	outer membrane integrity lipoprotein
2630326..2630865	+	179	1788853	yfgI	b2506	-	-	nalidixic acid resistance protein, putative periplasmic protein
2630958..2632535	-	525	1788854	guaA	b2507	-	-	GMP synthetase (glutamine aminotransferase)
2632604..2634070	-	488	1788855	guaB	b2508	-	-	IMP dehydrogenase
2634232..2635602	+	456	1788856	xseA	b2509	-	-	exonuclease VII, large subunit
2635599..2635814	-	71	87082119	yfgJ	b2510	-	-	DUF1407 family protein
2635884..2637356	-	490	87082120	der	b2511	-	-	GTPase; multicopy suppressor of ftsJ
2637474..2638652	-	392	1788859	bamB	b2512	-	-	BamABCDE complex OM biogenesis lipoprotein
2638663..2639283	-	206	1788860	yfgM	b2513	-	-	putative anti-RcsB factor
2639301..2640575	-	424	1788861	hisS	b2514	-	-	histidyl tRNA synthetase
2640686..2641804	-	372	1788863	ispG	b2515	-	-	1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase
2641831..2642844	-	337	1788864	rodZ	b2516	-	-	MreB assembly cytoskeletal protein
2643129..2644283	-	384	1788865	rlmN	b2517	-	-	dual specificity 23S rRNA m(2)A2503, tRNA m(2)A37 methyltransferase, SAM-dependent
2644433..2644864	-	143	1788866	ndk	b2518	-	-	multifunctional nucleoside diphosphate kinase and apyrimidinic endonuclease and 3'-phosphodiesterase
2645013..2647325	-	770	1788867	pbpC	b2519	-	-	penicillin-insensitive murein repair transglycosylase; inactive transpeptidase domain
2647326..2652287	-	1653	1788868	yfhM	b2520	-	-	bacterial alpha2-macroglobulin colonization factor ECAM; anti-host protease defense factor; periplasmic inner membrane-anchored lipoprotein
2652494..2653339	+	281	87082121	sseA	b2521	-	-	3-mercaptopyruvate sulfurtransferase
2654157..2654933	-	258	87082122	sseB	b2522	-	-	rhodanase-like enzyme, sulfur transfer from thiosulfate
2655075..2656358	-	427	87082123	pepB	b2523	-	-	aminopeptidase B
2656536..2656736	-	66	1788873	iscX	b2524	-	-	Iron binding protein associated with IscS; putative molecular adaptor of IscS function
2656748..2657083	-	111	1788874	fdx	b2525	-	-	[2Fe-2S] ferredoxin
2657085..2658935	-	616	1788875	hscA	b2526	-	-	DnaK-like molecular chaperone specific for IscU
2658952..2659467	-	171	1788876	hscB	b2527	-	-	HscA co-chaperone, J domain-containing protein Hsc56; IscU-specific chaperone HscAB
2659563..2659886	-	107	1788877	iscA	b2528	-	-	FeS cluster assembly protein
2659903..2660289	-	128	1788878	iscU	b2529	-	-	iron-sulfur cluster assembly scaffold protein
2660317..2661531	-	404	48994898	iscS	b2530	-	-	cysteine desulfurase (tRNA sulfurtransferase), PLP-dependent
2661643..2662131	-	162	1788880	iscR	b2531	-	-	isc operon transcriptional repressor; suf operon transcriptional activator; oxidative stress- and iron starvation-inducible; autorepressor
2662583..2663323	-	246	1788881	trmJ	b2532	-	-	tRNA mC32,mU32 2'-O-methyltransferase, SAM-dependent
2663442..2664245	+	267	1788882	suhB	b2533	-	-	inositol monophosphatase
2664390..2665244	+	284	226510965	yfhR	b2534	-	-	putative S9 family prolyl oligopeptidase
2665435..2666715	+	426	87082124	csiE	b2535	-	-	stationary phase inducible protein
2666707..2667846	-	379	1788886	hcaT	b2536	-	-	putative 3-phenylpropionic transporter
2668006..2668896	-	296	1788887	hcaR	b2537	-	-	hca operon transcriptional regulator
2668006..2668071	-	21	545778207	iroK	b4706	-	-	3-hydroxypropionic acid resistance peptide
2669032..2670393	+	453	1788888	hcaE	b2538	-	-	3-phenylpropionate dioxygenase, large (alpha) subunit
2670390..2670908	+	172	1788889	hcaF	b2539	-	-	3-phenylpropionate dioxygenase, small (beta) subunit
2670908..2671228	+	106	1788890	hcaC	b2540	-	-	3-phenylpropionate dioxygenase, ferredoxin subunit
2671225..2672037	+	270	1788891	hcaB	b2541	-	-	2,3-dihydroxy-2,3-dihydrophenylpropionate dehydrogenase
2672047..2673249	+	400	1788892	hcaD	b2542	-	-	phenylpropionate dioxygenase, ferredoxin reductase subunit
2673346..2673768	+	140	145693171	yphA	b2543	-	-	DoxX family inner membrane protein
2673816..2674688	-	290	1788894	yphB	b2544	-	-	mutarotase superfamily protein, YphB family
2674700..2675761	-	353	87082125	yphC	b2545	-	-	putative Zn-dependent NAD(P)-binding oxidoreductase
2675827..2676825	-	332	1788896	yphD	b2546	-	-	inner membrane putative ABC superfamily sugar transporter permease
2676850..2678361	-	503	1788897	yphE	b2547	-	-	putative sugar transporter subunit of ABC superfamily, ATP-binding component
2678384..2679367	-	327	1788898	yphF	b2548	-	-	putative ABC superfamily sugar transporter periplasmic-binding protein
2679464..2682745	-	1093	87082126	yphG	b2549	-	-	DUF4380 domain-containing TPR repeat protein
2682863..2684056	+	397	87082127	yphH	b2550	-	-	putative DNA-binding transcriptional regulator
2684254..2685507	-	417	1788902	glyA	b2551	-	-	serine hydroxymethyltransferase
2685835..2687025	+	396	1788903	hmp	b2552	-	-	fused nitric oxide dioxygenase/dihydropteridine reductase 2
2687070..2687408	-	112	1788904	glnB	b2553	-	-	regulatory protein P-II for glutamine synthetase
2687469..2688803	-	444	1788905	glrR	b2554	-	-	response regulator regulating glmY sRNA in two-component system with sensor protein GlrK
2688793..2689506	-	237	1788906	yfhG	b2555	-	-	putative outer membrane protein modulating the QseEF response
2689671..2691098	-	475	87082128	glrK	b2556	-	-	sensor protein kinase regulating glmY sRNA in two-component system with response regulator GlrR
2691656..2695543	-	1295	48994899	purL	b2557	-	-	phosphoribosylformyl-glycineamide synthetase
2695801..2697357	+	518	171474010	mltF	b2558	-	-	membrane-bound lytic transglycosylase F, murein hydrolase
2697354..2697857	-	167	145693172	tadA	b2559	-	-	tRNA-specific adenosine deaminase
2697915..2698550	-	211	87082129	pgpC	b2560	-	-	phosphatidylglycerophosphatase C, membrane bound
2698759..2699607	+	282	87082130	yfhH	b2561	-	-	putative DNA-binding transcriptional regulator
2699663..2699923	+	86	1788914	yfhL	b2562	-	-	putative 4Fe-4S cluster-containing protein
2700117..2700197	-	26	226510966	shoB	b4687	-	-	toxic membrane protein
2700618..2700998	-	126	1788916	acpS	b2563	-	-	holo-[acyl-carrier-protein] synthase 1
2700998..2701729	-	243	1788917	pdxJ	b2564	-	-	pyridoxine 5'-phosphate synthase
2701741..2702469	-	242	2367140	recO	b2565	-	-	gap repair protein
2702481..2703386	-	301	1788919	era	b2566	-	-	membrane-associated, 16S rRNA-binding GTPase
2703383..2704063	-	226	1788920	rnc	b2567	-	-	RNase III
2704335..2705309	-	324	1788921	lepB	b2568	-	-	leader peptidase (signal peptidase I)
2705325..2707124	-	599	1788922	lepA	b2569	-	-	back-translocating elongation factor EF4, GTPase
2707322..2707801	-	159	1788923	rseC	b2570	-	-	SoxR iron-sulfur cluster reduction factor component; with RsxABCDEG
2707798..2708754	-	318	1788924	rseB	b2571	-	-	anti-sigma E factor, binds RseA
2708754..2709404	-	216	1788925	rseA	b2572	-	-	anti-sigma factor
2709437..2710012	-	191	1788926	rpoE	b2573	-	-	RNA polymerase sigma E factor
2710420..2712042	+	540	1788928	nadB	b2574	-	-	quinolinate synthase, L-aspartate oxidase (B protein) subunit
2712027..2712764	-	245	87082131	trmN	b2575	-	-	tRNA1(Val) (adenine(37)-N6)-methyltransferase
2712896..2714230	+	444	1788930	srmB	b2576	-	-	ATP-dependent RNA helicase
2714439..2715320	-	293	87082132	yfiE	b2577	-	-	putative DNA-binding transcriptional regulator
2715423..2716010	+	195	1788932	eamB	b2578	-	-	cysteine and O-acetylserine exporter
2716066..2716449	-	127	1788933	grcA	b2579	-	-	autonomous glycyl radical cofactor
2716754..2717443	+	229	1788934	ung	b2580	-	-	uracil-DNA-glycosylase
2717491..2718528	-	345	1788935	yfiF	b2581	-	-	putative methyltransferase
2718735..2719154	+	139	1788936	trxC	b2582	-	-	thioredoxin 2
2719223..2719921	+	232	87082133	yfiP	b2583	-	-	DTW domain protein
2719953..2722613	+	886	1788938	pka	b2584	-	-	protein lysine acetyltransferase
2722727..2724082	+	451	87082134	pssA	b2585	-	-	phosphatidylserine synthase (CDP-diacylglycerol-serine O-phosphatidyltransferase)
2724128..2724451	+	107	145693173	yfiM	b2586	-	-	putative lipoprotein
2724448..2725746	-	432	1788942	kgtP	b2587	-	-	alpha-ketoglutarate transporter
2731600..2734173	-	857	1788943	clpB	b2592	-	-	protein disaggregation chaperone
2734303..2735034	-	243	1788945	yfiH	b2593	-	-	UPF0124 family protein
2735031..2736011	-	326	1788946	rluD	b2594	-	-	23S rRNA pseudouridine(1911,1915,1917) synthase
2736146..2736883	+	245	1788947	bamD	b2595	-	-	BamABCDE complex OM biogenesis lipoprotein
2737154..2737495	+	113	1788949	raiA	b2597	-	-	cold shock protein associated with 30S ribosomal subunit
2737599..2737646	+	15	1788950	pheL	b2598	-	-	pheA gene leader peptide
2737745..2738905	+	386	1788951	pheA	b2599	-	-	chorismate mutase and prephenate dehydratase, P-protein
2738948..2740069	-	373	1788952	tyrA	b2600	-	-	fused chorismate mutase T/prephenate dehydrogenase
2740080..2741150	-	356	1788953	aroF	b2601	-	-	3-deoxy-D-arabino-heptulosonate-7-phosphate synthase, tyrosine-repressible
2741360..2741725	+	121	87082135	yfiL	b2602	-	-	lipoprotein
2741875..2742393	+	172	1788955	yfiR	b2603	-	-	putative periplasmic inhibitor of YfiN activity
2742383..2743609	+	408	1788956	yfiN	b2604	-	-	putative membrane-anchored diguanylate cyclase with an N-terminal periplasmic domain
2743625..2744107	+	160	1788957	yfiB	b2605	-	-	OM lipoprotein putative positive effector of YfiN activity
2744183..2744530	-	115	1788958	rplS	b2606	-	-	50S ribosomal subunit protein L19
2744572..2745339	-	255	1788959	trmD	b2607	-	-	tRNA m(1)G37 methyltransferase, SAM-dependent
2745370..2745918	-	182	87082136	rimM	b2608	-	-	16S rRNA processing protein
2745937..2746185	-	82	1788961	rpsP	b2609	-	-	30S ribosomal subunit protein S16
2746434..2747795	-	453	1788963	ffh	b2610	-	-	Signal Recognition Particle (SRP) component with 4.5S RNA (ffs)
2747962..2748753	+	263	145693174	ypjD	b2611	-	-	cytochrome c assembly protein family inner membrane protein
2748774..2750060	+	428	145693175	yfjD	b4461	-	-	UPF0053 family inner membrane protein
2750115..2750708	-	197	1788967	grpE	b2614	-	-	heat shock protein
2750831..2751709	+	292	1788968	nadK	b2615	-	-	NAD kinase
2751795..2753456	+	553	48994901	recN	b2616	-	-	recombination and repair protein
2753605..2753946	+	113	87082138	bamE	b2617	-	-	lipoprotein component of BamABCDE OM biogenesis complex
2754008..2754298	-	96	87082139	ratB	b2618	-	-	UPF0125 family protein
2754288..2754764	-	158	1788972	ratA	b2619	-	-	toxic UPF0083 family protein inhibitor of 70S ribosome formation
2754896..2755378	+	160	1788973	smpB	b2620	-	-	trans-translation protein
2756159..2757400	+	413	1788974	intA	b2622	-	-	CP4-57 prophage; integrase
2757644..2758600	-	318	1788976	yfjH	b2623	-	-	CP4-57 prophage; uncharacterized protein
2758644..2758856	+	70	1788977	alpA	b2624	-	-	CP4-57 prophage; DNA-binding transcriptional activator
2758985..2760394	+	469	1788978	yfjI	b2625	-	-	CP4-57 prophage; uncharacterized protein
2760547..2761173	+	208	1788979	yfjJ	b2626	-	-	CP4-57 prophage; uncharacterized protein
2761351..2763540	-	729	1788980	yfjK	b2627	-	-	DEAD/H helicase-like protein, CP4-57 putative defective prophage
2763537..2765153	-	538	1788981	yfjL	b2628	-	-	CP4-57 putative defective prophage, DUF4297/DUF1837 polymorphic toxin family protein
2765513..2765776	-	87	1788982	yfjM	b2629	-	-	CP4-57 prophage; uncharacterized protein
2765918..2766991	+	357	1788983	rnlA	b2630	-	-	CP4-57 prophage; RNase LS
2766984..2767355	+	123	87082140	rnlB	b2631	-	-	CP4-57 prophage; uncharacterized protein
2767710..2768573	+	287	48994902	yfjP	b2632	-	-	CP4-57 prophage; 50S ribosome-binding GTPase family protein
2768665..2769486	+	273	1788987	yfjQ	b2633	-	-	CP4-57 prophage; uncharacterized protein
2769703..2770404	+	233	1788988	yfjR	b2634	-	-	CP4-57 prophage; putative DNA-binding transcriptional regulator
2770445..2770681	+	78	87082141	ypjK	b2635	-	-	CP4-57 prophage; putative inner membrane protein
2770681..2771124	+	147	87082142	yfjS	b2636	-	-	CP4-57 prophage; uncharacterized protein
2771148..2771615	+	155	1788990	yfjT	b2637	-	-	CP4-57 prophage; putative periplasmic protein
2773318..2775021	+	567	2367146	yfjW	b2642	-	-	CP4-57 prophage; putative inner membrane protein
2775919..2776377	+	152	1788996	yfjX	b2643	-	-	CP4-57 prophage; putative antirestriction protein
2776386..2776868	+	160	1788997	yfjY	b2644	-	-	CP4-57 prophage; putative DNA repair protein
2776877..2777077	+	66	87082144	ypjJ	b4548	-	-	uncharacterized protein
2777115..2777432	+	105	1788998	yfjZ	b2645	-	-	CP4-57 prophage; antitoxin of the YpjF-YfjZ toxin-antitoxin system
2777453..2777782	+	109	1788999	ypjF	b2646	-	-	CP4-57 prophage; toxin of the YpjF-YfjZ toxin-antitoxin system
2778146..2782726	-	1526	87082145	ypjA	b2647	-	-	adhesin-like autotransporter
2788985..2789962	+	325	87082147	csiD	b2659	-	-	carbon starvation protein
2789982..2791250	+	422	87082148	lhgO	b2660	-	-	L-2-hydroxyglutarate oxidase
2791273..2792721	+	482	1789015	gabD	b2661	-	-	succinate-semialdehyde dehydrogenase I, NADP-dependent
2792735..2794015	+	426	1789016	gabT	b2662	-	-	4-aminobutyrate aminotransferase, PLP-dependent
2794253..2795653	+	466	1789017	gabP	b2663	-	-	gamma-aminobutyrate transporter
2795674..2796336	+	220	87082149	csiR	b2664	-	-	transcriptional repressor of csiD
